age_group,loc,stratification,gt_type,gt_diff,source,region
0-14,4,age,household,TRUE,sequence,
15-29,1,age,household,TRUE,sequence,
30-44,2,age,household,TRUE,sequence,
45-59,3,age,household,TRUE,sequence,
60-74,5,age,household,TRUE,sequence,
75+,6,age,household,TRUE,sequence,
0-14,4,age,intrinsic,TRUE,sequence,
15-29,1,age,intrinsic,TRUE,sequence,
30-44,2,age,intrinsic,TRUE,sequence,
45-59,3,age,intrinsic,TRUE,sequence,
60-74,5,age,intrinsic,TRUE,sequence,
75+,6,age,intrinsic,TRUE,sequence,
0-14,22,age and region,household,TRUE,sequence,East of England
0-14,11,age and region,household,TRUE,sequence,London
0-14,39,age and region,household,TRUE,sequence,Midlands
0-14,37,age and region,household,TRUE,sequence,North East and Yorkshire
0-14,23,age and region,household,TRUE,sequence,North West
0-14,1,age and region,household,TRUE,sequence,South East
0-14,2,age and region,household,TRUE,sequence,South West
15-29,3,age and region,household,TRUE,sequence,East of England
15-29,19,age and region,household,TRUE,sequence,London
15-29,4,age and region,household,TRUE,sequence,Midlands
15-29,40,age and region,household,TRUE,sequence,North East and Yorkshire
15-29,38,age and region,household,TRUE,sequence,North West
15-29,24,age and region,household,TRUE,sequence,South East
15-29,12,age and region,household,TRUE,sequence,South West
30-44,13,age and region,household,TRUE,sequence,East of England
30-44,5,age and region,household,TRUE,sequence,London
30-44,25,age and region,household,TRUE,sequence,Midlands
30-44,10,age and region,household,TRUE,sequence,North East and Yorkshire
30-44,41,age and region,household,TRUE,sequence,North West
30-44,36,age and region,household,TRUE,sequence,South East
30-44,14,age and region,household,TRUE,sequence,South West
45-59,15,age and region,household,TRUE,sequence,East of England
45-59,6,age and region,household,TRUE,sequence,London
45-59,16,age and region,household,TRUE,sequence,Midlands
45-59,26,age and region,household,TRUE,sequence,North East and Yorkshire
45-59,27,age and region,household,TRUE,sequence,North West
45-59,34,age and region,household,TRUE,sequence,South East
45-59,35,age and region,household,TRUE,sequence,South West
60-74,7,age and region,household,TRUE,sequence,East of England
60-74,8,age and region,household,TRUE,sequence,London
60-74,9,age and region,household,TRUE,sequence,Midlands
60-74,28,age and region,household,TRUE,sequence,North East and Yorkshire
60-74,29,age and region,household,TRUE,sequence,North West
60-74,17,age and region,household,TRUE,sequence,South East
60-74,42,age and region,household,TRUE,sequence,South West
75+,30,age and region,household,TRUE,sequence,East of England
